,AAPL,GOOGL,MSFT
2026-04-16,263.15753173828125,336.0199890136719,419.35174560546875
2026-04-17,269.98126220703125,341.67999267578125,421.87628173828125
2026-04-20,272.79864501953125,337.4200134277344,417.1664733886719
2026-04-21,265.9250183105469,332.2900085449219,423.2433166503906
2026-04-22,272.9185791015625,339.32000732421875,431.984375
2026-04-23,273.1783142089844,338.8900146484375,414.8514709472656
2026-04-24,270.81048583984375,344.3999938964844,423.7023010253906
2026-04-27,267.3636474609375,350.3399963378906,423.9018859863281
2026-04-28,270.4608154296875,349.7799987792969,428.3222961425781
2026-04-29,269.92132568359375,349.94000244140625,423.5426330566406
2026-04-30,271.1002502441406,384.79998779296875,406.8987121582031
2026-05-01,279.88214111328125,385.69000244140625,413.5443115234375
2026-05-04,276.5751647949219,383.25,412.72607421875
2026-05-05,283.9184265136719,388.42999267578125,410.4909362792969
2026-05-06,287.245361328125,398.0400085449219,413.0653381347656
2026-05-07,287.1754150390625,397.989990234375,419.8606262207031
2026-05-08,293.0500183105469,400.79998779296875,414.22283935546875
2026-05-11,292.67999267578125,388.6400146484375,411.7681579589844
2026-05-12,294.79998779296875,387.3500061035156,406.8887023925781
2026-05-13,298.8699951171875,402.6199951171875,404.3342590332031
2026-05-14,298.2099914550781,401.07000732421875,408.5451354980469
2026-05-15,300.2300109863281,396.7799987792969,421.0081481933594
2026-05-18,297.8399963378906,396.94000244140625,422.6246643066406
2026-05-19,298.9700012207031,387.6600036621094,416.51788330078125
2026-05-20,302.25,388.9100036621094,420.1499938964844
2026-05-21,304.989990234375,387.6600036621094,419.0899963378906
2026-05-22,308.82000732421875,382.9700012207031,418.57000732421875
2026-05-26,308.3299865722656,388.8800048828125,416.0299987792969
2026-05-27,310.8500061035156,388.8299865722656,412.6700134277344
2026-05-28,310.7204895019531,390.6549987792969,426.5950012207031
